
codice_cliente,value_segment,life_stage,num_products,engagement_level,strategic_segment,nba_recommendation,urgency_tier,cluster,num_claims,total_claim_amount,num_complaints,num_interactions,conversion_rate,casa_owned,salute_owned,investimento_owned,pip_owned
9500,Entry-Retail,Pre-Retirement,1,Neutral,Entry-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9501,Upper-Retail,Established Family,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,4.0,1.0,0.0,0,0,1,0
9502,Upper-Retail,Pre-Retirement,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,1.0,12291.0,4.0,4.0,0.25,0,0,1,0
9503,Mid-Retail,Retired,2,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,3.0,4.0,0.0,0,0,0,0
9504,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9505,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,2.0,2.0,0.5,0,0,0,0
9506,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,1.0,3.0,0.0,0,0,0,0
9507,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9508,Mid-Retail,Pre-Retirement,1,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,2.0,0.0,0.0,0,0,0,0
9509,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
9510,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9511,Mid-Retail,Pre-Retirement,2,Neutral,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,3.0,2.0,0.0,0,0,0,0
9512,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
